SPNAMES_jetz;SPNAMES_merge_jetz-birdlife;SPNAMES_birdlife;SPENG_jetz;SPENG_birdlife;Order;MIG_strategy;DIST_QUALI;DIST_QUANTI_MIGONLY;DIST_QUANTI_ALLSP;LENGTH_BREEDINGA;BodyMass;Diet.Inv;Diet.Vend;Diet.Vect;Diet.Vfish;Diet.Vunk;Diet.Scav;Diet.Fruit;Diet.Nect;Diet.Seed;Diet.PlantO;Diet.5Cat;Diet_breadth;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;For_breadth
Abeillia_abeillei;Abeillia_abeillei;Abeillia_abeillei;Emerald-chinned-Hummingbird;Emerald-chinned-Hummingbird;CAPRIMULGIFORMES;1_resident;1_resident;0;130.328852494861;586;2.7;10;0;0;0;0;0;0;90;0;0;FruiNect;2;0;0;0;100;0;0;0;1
Abroscopus_albogularis;Abroscopus_albogularis;Abroscopus_albogularis;Rufous-faced-Warbler;Rufous-faced-Warbler;PASSERIFORMES;1_resident;1_resident;0;407.615780815833;6340;4.84;100;0;0;0;0;0;0;0;0;0;Invertebrate;1;0;0;0;100;0;0;0;1
Abroscopus_schisticeps;Abroscopus_schisticeps;Abroscopus_schisticeps;Black-faced-Warbler;Black-faced-Warbler;PASSERIFORMES;1_resident;1_resident;0;299.769703874779;3311;4.7;100;0;0;0;0;0;0;0;0;0;Invertebrate;1;0;0;0;0;0;100;0;1
Abroscopus_superciliaris;Abroscopus_superciliaris;Abroscopus_superciliaris;Yellow-bellied-Warbler;Yellow-bellied-Warbler;PASSERIFORMES;1_resident;1_resident;0;612.812083687553;9238;6.48;100;0;0;0;0;0;0;0;0;0;Invertebrate;1;0;0;0;80;0;20;0;2
Aburria_aburri;Aburria_aburri;Aburria_aburri;Wattled-Guan;Wattled-Guan;GALLIFORMES;1_resident;1_resident;0;259.180476918292;655;1405.08;0;0;0;0;0;0;100;0;0;0;FruiNect;1;0;0;0;0;100;0;0;1
Acanthagenys_rufogularis;Acanthagenys_rufogularis;Acanthagenys_rufogularis;Spiny-cheeked-Honeyeater;Spiny-cheeked-Honeyeater;PASSERIFORMES;1_resident;1_resident;0;617.370817062105;20258;47.8;40;0;0;0;10;0;10;30;10;0;Omnivore;5;0;0;10;20;40;20;10;5
Acanthidops_bairdii;Acanthidops_bairdi;Acanthidops_bairdi;Peg-billed-Finch;Peg-billed-Finch;PASSERIFORMES;1_resident;1_resident;0;36.525786090428;41;16;40;0;0;0;0;0;20;0;30;10;Omnivore;4;0;0;50;50;0;0;0;2
Acanthisitta_chloris;Acanthisitta_chloris;Acanthisitta_chloris;Rifleman;Rifleman;PASSERIFORMES;1_resident;1_resident;0;148.712774999508;1010;6.91;90;0;0;0;0;0;10;0;0;0;Invertebrate;2;0;0;20;60;20;0;0;3
Acanthiza_apicalis;Acanthiza_apicalis;Acanthiza_apicalis;Inland-Thornbill;Inland-Thornbill;PASSERIFORMES;1_resident;1_resident;0;537.032091337029;14148;7.62;70;0;0;0;0;0;10;10;10;0;Invertebrate;4;0;0;40;40;20;0;0;3
Acanthiza_chrysorrhoa;Acanthiza_chrysorrhoa;Acanthiza_chrysorrhoa;Yellow-rumped-Thornbill;Yellow-rumped-Thornbill;PASSERIFORMES;1_resident;1_resident;0;596.729545035829;16190;9.29;80;0;0;0;0;0;0;0;20;0;Invertebrate;2;0;0;80;20;0;0;0;2
